"year","month","country","totalsales"
"2011","10","Austria","1043.78"
"2011","10","RSA","1002.31"
"2011","10","Singapore","999.26"
"2011","10","USA","731.69"
"2011","10","Hong Kong","723.57"
"2011","10","Czech Republic","277.48"
"2011","10","Israel","138.03"
"2011","11","United Kingdom","1282805.78"
"2011","11","France","30697.51"
"2011","11","EIRE","30413.05"
"2011","11","Germany","26044.35"
"2011","11","Netherlands","25856.01"
"2011","11","Spain","8533.87"
"2011","11","Japan","8460.08"
"2011","11","Switzerland","8116.96"
"2011","11","Australia","6805.99"
"2011","11","Norway","6527.50"
"2011","11","Belgium","6229.41"
"2011","11","Italy","4243.75"
"2011","11","Finland","2950.24"
"2011","11","Denmark","2699.57"
"2011","11","Portugal","2644.90"
"2011","11","Sweden","2612.71"
"2011","11","Channel Islands","1495.17"
"2011","11","Poland","1341.87"
"2011","11","Austria","1329.78"
"2011","11","Unspecified","965.75"
"2011","11","Malta","582.62"
"2011","11","Cyprus","460.89"
"2011","11","Hong Kong","0.00"
"2011","11","Czech Republic","-61.51"
"2011","12","United Kingdom","388735.43"
"2011","12","Netherlands","11728.02"
"2011","12","Germany","7804.70"
"2011","12","EIRE","7323.04"
"2011","12","France","7048.83"
"2011","12","Portugal","2801.95"
"2011","12","Norway","2785.70"
"2011","12","Belgium","1409.43"
"2011","12","Finland","1230.68"
"2011","12","Austria","683.20"
"2011","12","Greece","680.99"
"2011","12","USA","615.28"
"2011","12","Spain","271.43"
"2011","12","Iceland","224.82"
"2011","12","Italy","200.45"
"2011","12","Channel Islands","194.15"
"2011","12","Denmark","168.90"
"2011","12","Sweden","0.00"
"2011","12","Malta","-30.81"
"2011","12","Cyprus","-91.25"
"2011","12","Japan","-116.93"
