"year","month","description","totalsales"
"2010","12","SET OF 6 SPICE TINS PANTRY DESIGN","1164.51"
"2010","12","FULL ENGLISH BREAKFAST PLATE","1163.97"
"2010","12","RETRO COFFEE MUGS ASSORTED","1162.05"
"2010","12","RED RETROSPOT TRADITIONAL TEAPOT","1159.45"
"2010","12","DOORMAT HEARTS","1146.36"
"2010","12","FELTCRAFT CUSHION BUTTERFLY","1139.46"
"2010","12","PICNIC BASKET WICKER SMALL","1132.76"
"2010","12","FELTCRAFT CUSHION OWL","1126.95"
"2010","12","ASSORTED COLOUR T-LIGHT HOLDER","1125.36"
"2010","12","JUMBO BAG PINK VINTAGE PAISLEY","1123.59"
"2010","12","CREAM SWEETHEART MINI CHEST","1121.83"
"2010","12","DOORMAT NEW ENGLAND","1119.51"
"2010","12","PINK 3 PIECE POLKADOT CUTLERY SET","1119.44"
"2010","12","RECORD FRAME 7"" SINGLE SIZE ","1109.53"
"2010","12","T-LIGHT GLASS FLUTED ANTIQUE","1100.63"
"2010","12","SET OF 6 SOLDIER SKITTLES","1071.12"
"2010","12","LUNCH BAG SUKI  DESIGN","1066.83"
"2010","12","COOK WITH WINE METAL SIGN","1059.99"
"2010","12","JUMBO STORAGE BAG SKULLS","1059.28"
"2010","12","PLASTERS IN TIN STRONGMAN","1059.18"
"2010","12","SET/4 WHITE RETRO STORAGE CUBES","1055.15"
"2010","12","LUNCH BAG  BLACK SKULL.","1045.95"
"2010","12","DOORMAT ENGLISH ROSE","1045.95"
"2010","12","ASSORTED COLOUR MINI CASES","1041.93"
"2010","12","SET 2 TEA TOWELS I LOVE LONDON","1015.79"
"2010","12","FELTCRAFT CUSHION RABBIT","1012.38"
"2010","12","VICTORIAN SEWING BOX MEDIUM","1012.28"
"2010","12","CABIN BAG VINTAGE RETROSPOT","1004.60"
"2010","12","CERAMIC HEART FAIRY CAKE MONEY BANK","1001.45"
"2010","12","JUMBO BAG PINK POLKADOT","1000.31"
"2010","12","TRAVEL SEWING KIT","981.99"
"2010","12","DOORMAT MULTICOLOUR STRIPE","978.30"
"2010","12","JUMBO BAG STRAWBERRY","967.86"
"2010","12","SET OF 20 KIDS COOKIE CUTTERS","966.65"
"2010","12","JUMBO BAG OWLS","964.01"
"2010","12","WICKER STAR","961.07"
"2010","12","HOT BATHS METAL SIGN","954.79"
"2010","12","GLASS STAR FROSTED T-LIGHT HOLDER","952.75"
"2010","12","CHARLOTTE BAG PINK POLKADOT","949.85"
"2010","12","IVORY EMBROIDERED QUILT","946.30"
"2010","12","FELTCRAFT 6 FLOWER FRIENDS","934.35"
"2010","12","JUMBO BAG WOODLAND ANIMALS","932.30"
"2010","12","LUNCH BAG CARS BLUE","926.16"
"2010","12","EDWARDIAN PARASOL NATURAL","922.59"
"2010","12","SWEETHEART CERAMIC TRINKET BOX","918.18"
"2010","12","FAMILY ALBUM WHITE PICTURE FRAME","915.98"
"2010","12","DOORMAT 3 SMILEY CATS","912.54"
"2010","12","ALARM CLOCK BAKELIKE IVORY","911.37"
"2010","12","SET/6 PINK  BUTTERFLY T-LIGHTS","902.52"
"2010","12","LOVE BUILDING BLOCK WORD","900.99"
"2010","12","CREAM SWEETHEART LETTER RACK","899.95"
"2010","12","PACK OF 72 SKULL CAKE CASES","894.97"
"2010","12","PACK OF 60 PINK PAISLEY CAKE CASES","891.79"
"2010","12","15CM CHRISTMAS GLASS BALL 20 LIGHTS","890.94"
"2010","12","SET OF 72 RETROSPOT PAPER  DOILIES","888.19"
"2010","12","FELTCRAFT CHRISTMAS FAIRY","887.95"
"2010","12","DOLLY GIRL LUNCH BOX","876.31"
"2010","12","CHARLIE+LOLA RED HOT WATER BOTTLE","872.92"
"2010","12","60 CAKE CASES VINTAGE CHRISTMAS","871.84"
"2010","12","GIN + TONIC DIET METAL SIGN","868.01"
"2010","12","CHRISTMAS CRAFT LITTLE FRIENDS","862.41"
"2010","12","NO SINGING METAL SIGN","860.34"
"2010","12","EDWARDIAN PARASOL RED","836.75"
"2010","12","GRAND CHOCOLATECANDLE","833.49"
"2010","12","TRADITIONAL CHRISTMAS RIBBONS","830.26"
"2010","12","VINTAGE SNAP CARDS","828.09"
"2010","12","SWEETHEART CAKESTAND 3 TIER","827.24"
"2010","12","VINTAGE BLUE KITCHEN CABINET","825.00"
"2010","12","CREAM CUPID HEARTS COAT HANGER","819.81"
"2010","12","CERAMIC STRAWBERRY CAKE MONEY BANK","817.56"
"2010","12","SET OF 20 VINTAGE CHRISTMAS NAPKINS","817.42"
"2010","12","ALARM CLOCK BAKELIKE ORANGE","812.28"
"2010","12","STRAWBERRY CHARLOTTE BAG","812.28"
"2010","12","WHITE METAL LANTERN","809.19"
"2010","12","FELTCRAFT PRINCESS CHARLOTTE DOLL","805.17"
"2010","12","PLASTERS IN TIN SPACEBOY","804.00"
"2010","12","60 TEATIME FAIRY CAKE CASES","793.69"
"2010","12","RED SPOTTY BISCUIT TIN","793.47"
"2010","12","GINGERBREAD MAN COOKIE CUTTER","792.70"
"2010","12","BLUE HARMONICA IN BOX","789.12"
"2010","12","RECIPE BOX RETROSPOT","789.10"
"2010","12","BAKING SET SPACEBOY DESIGN","780.00"
"2010","12","DANISH ROSE FOLDING CHAIR","779.10"
"2010","12","FAMILY PHOTO FRAME CORNICE","773.83"
"2010","12","WOODEN BOX OF DOMINOES","772.95"
"2010","12","PINK FAIRY CAKE CHILDRENS APRON","771.61"
"2010","12","HEART FILIGREE DOVE  SMALL","770.68"
"2010","12","SET/20 RED RETROSPOT PAPER NAPKINS","769.84"
"2010","12","SET 10 LIGHTS NIGHT OWL","765.34"
"2010","12","GREEN 3 PIECE POLKADOT CUTLERY SET","758.07"
"2010","12","LUNCH BAG SPACEBOY DESIGN","753.93"
"2010","12","CHILDS BREAKFAST SET SPACEBOY","752.15"
"2010","12","FELTCRAFT BUTTERFLY HEARTS","751.78"
"2010","12","PACK OF 12 LONDON TISSUES","750.10"
"2010","12","PLASTERS IN TIN WOODLAND ANIMALS","742.58"
"2010","12","TRADITIONAL MODELLING CLAY","738.99"
"2010","12","RED RETROSPOT ROUND CAKE TINS","736.35"
"2010","12","SET 3 RETROSPOT TEA,COFFEE,SUGAR","734.55"
"2010","12","NATURAL SLATE CHALKBOARD LARGE","726.17"
"2010","12","JUMBO BAG TOYS","725.63"
"2010","12","PIGGY BANK RETROSPOT","725.00"
"2010","12","CORONA MEXICAN TRAY","719.69"
"2010","12","LARGE CAKE TOWEL PINK SPOTS","718.45"
"2010","12","BREAD BIN DINER STYLE IVORY","717.25"
"2010","12","WALL TIDY RETROSPOT","717.10"
"2010","12","72 SWEETHEART FAIRY CAKE CASES","716.01"
"2010","12","6 RIBBONS ELEGANT CHRISTMAS","712.49"
"2010","12","MIRRORED DISCO BALL","705.35"
"2010","12","BLUE 3 PIECE POLKADOT CUTLERY SET","701.22"
"2010","12","RED RETROSPOT UMBRELLA","697.98"
"2010","12","ENAMEL BREAD BIN CREAM","697.60"
"2010","12","CERAMIC CAKE STAND + HANGING CAKES","690.91"
"2010","12","CAMOUFLAGE LED TORCH","687.07"
"2010","12","PLASTERS IN TIN CIRCUS PARADE","687.05"
"2010","12","3 TIER CAKE TIN GREEN AND CREAM","686.16"
"2010","12","CHRISTMAS CRAFT TREE TOP ANGEL","684.18"
"2010","12","ZINC METAL HEART DECORATION","683.92"
"2010","12","SET OF 6 RIBBONS VINTAGE CHRISTMAS","680.50"
"2010","12","CHARLIE + LOLA RED HOT WATER BOTTLE","680.12"
"2010","12","PORCELAIN BUTTERFLY OIL BURNER","678.86"
"2010","12","ANTIQUE GLASS DRESSING TABLE POT","678.70"
"2010","12","SET 3 WICKER STORAGE BASKETS","676.60"
"2010","12","PICNIC BASKET WICKER LARGE","672.83"
"2010","12","SET OF 3 BUTTERFLY COOKIE CUTTERS","672.46"
"2010","12","FRYING PAN UNION FLAG","671.71"
"2010","12","FAIRY CAKE FLANNEL ASSORTED COLOUR","670.44"
"2010","12","DOORMAT BLACK FLOCK","666.12"
"2010","12","RIBBON REEL STRIPES DESIGN","663.20"
"2010","12","ANTIQUE SILVER TEA GLASS ENGRAVED","662.97"
"2010","12","FELTCRAFT PRINCESS LOLA DOLL","658.08"
"2010","12","3 HOOK PHOTO SHELF ANTIQUE WHITE","642.42"
"2010","12","RED RETROSPOT MUG","641.67"
"2010","12","MINT KITCHEN SCALES","637.20"
"2010","12","SUKI  SHOULDER BAG","636.19"
"2010","12","CHOCOLATE THIS WAY METAL SIGN","635.07"
"2010","12","AIRLINE BAG VINTAGE TOKYO 78","634.51"
"2010","12","AGED GLASS SILVER T-LIGHT HOLDER","634.44"
"2010","12","OFFICE MUG WARMER CHOC+BLUE","633.39"
"2010","12","SET/10 RED POLKADOT PARTY CANDLES","629.16"
"2010","12","PLASTERS IN TIN SKULLS","627.60"
"2010","12","SET/3 RED GINGHAM ROSE STORAGE BOX","623.82"
"2010","12","HEART FILIGREE DOVE LARGE","623.31"
"2010","12","SANDWICH BATH SPONGE","614.68"
"2010","12","I CAN ONLY PLEASE ONE PERSON MUG","612.81"
"2010","12","PACK 3 BOXES CHRISTMAS PANNETONE","611.60"
"2010","12","SCANDINAVIAN REDS RIBBONS","607.86"
"2010","12","VINTAGE POST OFFICE CABINET","607.65"
"2010","12","RED RETROSPOT SHOPPER BAG","605.14"
"2010","12","NOVELTY BISCUITS CAKE STAND 3 TIER","604.30"
"2010","12","SKULL LUNCH BOX WITH CUTLERY","603.79"
"2010","12","RIBBON REEL CHRISTMAS SOCK BAUBLE","603.71"
"2010","12","CARRIAGE","600.00"
"2010","12","CANDLEHOLDER PINK HANGING HEART","597.93"
"2010","12","S/4 CACTI CANDLES","597.80"
"2010","12","PLASTERS IN TIN VINTAGE PAISLEY","597.51"
"2010","12","CHILDS BREAKFAST SET DOLLY GIRL","592.53"
"2010","12","HANGING HEART ZINC T-LIGHT HOLDER","591.49"
"2010","12","GROW YOUR OWN PLANT IN A CAN","590.93"
"2010","12","VINTAGE UNION JACK BUNTING","590.68"
"2010","12","BINGO SET","590.28"
"2010","12","DOORMAT FAIRY CAKE","589.59"
"2010","12","CHRISTMAS METAL TAGS ASSORTED","587.91"
"2010","12","ANTIQUE GLASS HEART DECORATION","586.90"
"2010","12","3 STRIPEY MICE FELTCRAFT","585.84"
"2010","12","CHILDRENS APRON SPACEBOY DESIGN","585.20"
"2010","12","RED RETROSPOT SMALL MILK JUG","585.00"
"2010","12","BEWARE OF THE CAT METAL SIGN","584.42"
"2010","12","ROSE 3 WICK MORRIS BOX CANDLE","584.24"
"2010","12","CHOCOLATE 3 WICK MORRIS BOX CANDLE","583.99"
"2010","12","STRAWBERRY FAIRY CAKE TEAPOT","583.07"
"2010","12","IVORY GIANT GARDEN THERMOMETER","582.86"
"2010","12","VINTAGE SNAKES & LADDERS","579.75"
"2010","12","SET OF 6 T-LIGHTS SNOWMEN","576.83"
"2010","12","PICTURE DOMINOES","576.64"
"2010","12","DOORMAT UNION JACK GUNS AND ROSES","575.58"
"2010","12","SET OF 3 NOTEBOOKS IN PARCEL","575.04"
"2010","12","SWISS ROLL TOWEL, PINK  SPOTS","571.75"
"2010","12","BREAD BIN DINER STYLE RED","570.40"
"2010","12","CAKE PLATE LOVEBIRD WHITE","570.39"
"2010","12","RETROSPOT CHILDRENS APRON","570.17"
"2010","12","SET/10 PINK POLKADOT PARTY CANDLES","565.31"
"2010","12","TEA TIME KITCHEN APRON","565.15"
"2010","12","LUNCH BAG PINK POLKADOT","564.59"
"2010","12","WHITE WIRE EGG HOLDER","564.43"
"2010","12","RED GINGHAM ROSE JEWELLERY BOX","562.65"
"2010","12","LOVE HEART POCKET WARMER","562.03"
"2010","12","OFFICE MUG WARMER POLKADOT","560.67"
"2010","12","CHILDRENS DOLLY GIRL MUG","558.03"
"2010","12","RED WHITE SCARF  HOT WATER BOTTLE","557.88"
"2010","12","METAL 4 HOOK HANGER FRENCH CHATEAU","557.73"
"2010","12","ANTIQUE TALL SWIRLGLASS TRINKET POT","555.84"
"2010","12","20 DOLLY PEGS RETROSPOT","554.01"
"2010","12","LADS ONLY TISSUE BOX","550.25"
"2010","12","TEA BAG PLATE RED RETROSPOT","548.16"
"2010","12","RED RETROSPOT OVEN GLOVE","547.23"
"2010","12","RECIPE BOX BLUE SKETCHBOOK DESIGN","545.32"
"2010","12","COFFEE MUG CAT + BIRD DESIGN","544.46"
"2010","12","HANGING JAM JAR T-LIGHT HOLDER","539.47"
"2010","12","CERAMIC CHERRY CAKE MONEY BANK","537.12"
"2010","12","GLASS  BEURRE DISH","537.07"
"2010","12","TEA FOR ONE POLKADOT","535.44"
"2010","12","DOORMAT WELCOME TO OUR HOME","532.74"
"2010","12","BLACK/BLUE POLKADOT UMBRELLA","532.62"
"2010","12","WHITE SPOT BLUE CERAMIC DRAWER KNOB","531.16"
"2010","12","WEEKEND BAG VINTAGE ROSE PAISLEY","527.85"
"2010","12","VINTAGE CREAM DOG FOOD CONTAINER","526.80"
"2010","12","BREAD BIN DINER STYLE PINK","524.30"
"2010","12","CREAM SLICE FLANNEL PINK SPOT","523.65"
"2010","12","LARGE HEART MEASURING SPOONS","520.59"
"2010","12","FINE WICKER HEART","520.53"
"2010","12","UNION JACK FLAG PASSPORT COVER","519.71"
"2010","12","MAGIC DRAWING SLATE PURDEY","519.25"
"2010","12","STAR PORTABLE TABLE LIGHT","516.26"
"2010","12","CLASSIC METAL BIRDCAGE PLANT HOLDER","516.17"
"2010","12","ROUND CAKE TIN VINTAGE RED","514.54"
"2010","12","POLKADOT PEN","514.24"
"2010","12","12 PENCILS SMALL TUBE RED RETROSPOT","513.32"
"2010","12","10 COLOUR SPACEBOY PEN","509.97"
"2010","12","SOMBRERO","509.75"
"2010","12","RIBBON REEL SNOWY VILLAGE","507.49"
"2010","12","CLEAR DRAWER KNOB ACRYLIC EDWARDIAN","504.74"
"2010","12","S/4 VALENTINE DECOUPAGE HEART BOX","504.50"
"2010","12","LOVE LARGE WOOD LETTERS","503.03"
"2010","12","LARGE WHITE HONEYCOMB PAPER BELL","502.71"
"2010","12","APPLE BATH SPONGE","500.54"
"2010","12","SET/3 ROSE CANDLE IN JEWELLED BOX","498.78"
"2010","12","LUNCH BOX WITH CUTLERY RETROSPOT","497.46"
"2010","12","STRAWBERRY LUNCH BOX WITH CUTLERY","497.22"
"2010","12","ANTIQUE GLASS PEDESTAL BOWL","497.16"
"2010","12","PICTURE FRAME WOOD TRIPLE PORTRAIT","494.15"
"2010","12","TEA TIME OVEN GLOVE","493.28"
"2010","12","BATH BUILDING BLOCK WORD","491.65"
"2010","12","DOORMAT AIRMAIL","491.61"
"2010","12","CHARLIE LOLA BLUE HOT WATER BOTTLE","491.23"
"2010","12","HEART IVORY TRELLIS SMALL","490.38"
"2010","12","SET/2 RED RETROSPOT TEA TOWELS","490.07"
"2010","12","PACK 3 BOXES BIRD PANNETONE","489.85"
"2010","12","POTTERING MUG","489.29"
"2010","12","ALARM CLOCK BAKELIKE CHOCOLATE","486.87"
"2010","12","CABIN BAG VINTAGE PAISLEY","485.92"
"2010","12","VINYL RECORD FRAME SILVER","485.91"
"2010","12","BOX OF 24 COCKTAIL PARASOLS","485.09"
"2010","12","MEMO BOARD COTTAGE DESIGN","483.22"
"2010","12","RED DRAWER KNOB ACRYLIC EDWARDIAN","480.00"
"2010","12","FELTCRAFT PRINCESS OLIVIA DOLL","478.32"
"2010","12","PHOTO FRAME CORNICE","478.05"
"2010","12","ROTATING LEAVES T-LIGHT HOLDER","477.35"
"2010","12","CHRISTMAS GINGHAM HEART","475.96"
"2010","12","SET 3 WICKER OVAL BASKETS W LIDS","469.80"
"2010","12","TOY TIDY PINK POLKADOT","468.68"
"2010","12","BALLOONS  WRITING SET","467.13"
"2010","12","PINK BLUE FELT CRAFT TRINKET BOX","466.55"
"2010","12","JAM JAR WITH PINK LID","465.84"
"2010","12","MEASURING TAPE BABUSHKA RED","464.97"
"2010","12","ANGEL DECORATION 3 BUTTONS","464.13"
"2010","12","EMPIRE UNION JACK TV DINNER TRAY","463.78"
"2010","12","CALENDAR PAPER CUT DESIGN","463.48"
"2010","12","VICTORIAN SEWING KIT","461.30"
"2010","12","VANILLA SCENT CANDLE JEWELLED BOX","459.37"
"2010","12","RETROSPOT RED WASHING UP GLOVES","458.17"
"2010","12","PAPER BUNTING RETROSPOT","457.99"
"2010","12","VINTAGE CREAM CAT FOOD CONTAINER","457.54"
"2010","12","SAVE THE PLANET MUG","457.03"
"2010","12","RUSTIC  SEVENTEEN DRAWER SIDEBOARD","455.00"
"2010","12","TWO DOOR CURIO CABINET","454.05"
"2010","12","WOODEN SCHOOL COLOURING SET","452.67"
"2010","12","RED RETROSPOT OVEN GLOVE DOUBLE","451.83"
"2010","12","VINTAGE PAISLEY STATIONERY SET","450.28"
"2010","12","WOODEN CROQUET GARDEN SET","449.29"
"2010","12","RETROSPOT LARGE MILK JUG","449.20"
"2010","12","PINK CREAM FELT CRAFT TRINKET BOX","449.11"
"2010","12","3 TIER CAKE TIN RED AND CREAM","447.78"
"2010","12","FELTCRAFT DOLL MOLLY","447.01"
"2010","12","POPPY'S PLAYHOUSE KITCHEN","443.36"
"2010","12","SET/6 PURPLE BUTTERFLY T-LIGHTS","443.15"
"2010","12","SET/6 RED SPOTTY PAPER PLATES","442.36"
"2010","12","WOODEN ADVENT CALENDAR CREAM","441.80"
"2010","12","WOODEN ADVENT CALENDAR RED","441.70"
"2010","12","POTTERING IN THE SHED METAL SIGN","439.76"
"2010","12","RED RETROSPOT BUTTER DISH","437.85"
"2010","12","ROCKING HORSE RED CHRISTMAS","437.65"
"2010","12","CHILDS BREAKFAST SET CIRCUS PARADE","436.86"
"2010","12","GREY FLORAL FELTCRAFT SHOULDER BAG","435.60"
"2010","12","RED RETROSPOT CHILDRENS UMBRELLA","434.67"
"2010","12","BOX OF VINTAGE JIGSAW BLOCKS","434.39"
"2010","12","STRAWBERRY BATH SPONGE","430.43"
"2010","12","WHITE BELL HONEYCOMB PAPER","429.96"
"2010","12","GLASS CLOCHE LARGE","429.90"
"2010","12","POPPY'S PLAYHOUSE BEDROOM","427.77"
"2010","12","LANTERN CREAM GAZEBO","427.38"
"2010","12","SET/3 VANILLA SCENTED CANDLE IN BOX","426.83"
"2010","12","HI TEC ALPINE HAND WARMER","426.75"
"2010","12","JUMBO BAG SPACEBOY DESIGN","426.22"
"2010","12","OVERNIGHT BAG VINTAGE ROSE PAISLEY","426.06"
"2010","12","SET OF 72 PINK HEART PAPER DOILIES","426.02"
"2010","12","AREA PATROLLED METAL SIGN","422.21"
"2010","12","OFFICE MUG WARMER BLACK+SILVER","420.40"
"2010","12","FAUX FUR CHOCOLATE THROW","419.01"
"2010","12","BLACK CANDELABRA T-LIGHT HOLDER","418.54"
"2010","12","FANNY'S REST STOPMETAL SIGN","418.34"
"2010","12","POTTING SHED TEA MUG","416.95"
"2010","12","GREEN GIANT GARDEN THERMOMETER","415.90"
"2010","12","PAINTED METAL PEARS ASSORTED","414.19"
"2010","12","OCEAN SCENT CANDLE IN JEWELLED BOX","413.96"
"2010","12","6 CHOCOLATE LOVE HEART T-LIGHTS","413.75"
"2010","12","METAL SIGN TAKE IT OR LEAVE IT","413.16"
"2010","12","EDWARDIAN PARASOL PINK","410.99"
"2010","12","SILK PURSE BABUSHKA RED","409.75"
"2010","12","WHITE SPOT RED CERAMIC DRAWER KNOB","409.68"
"2010","12","BLUE HAPPY BIRTHDAY BUNTING","407.26"
"2010","12","4 TRADITIONAL SPINNING TOPS","406.91"
